isogroup gene annotation,
TRINITY_DN32601_c0_g1,60S ribosomal protein L32 OS=Ictalurus punctatus GN=rpl32 PE=2 SV=1 E(blastx)=2e-28
TRINITY_DN3567_c0_g1,"Alanine--glyoxylate aminotransferase 2, mitochondrial OS=Mus musculus GN=Agxt2 PE=1 SV=1 E(blastx)=5e-21"
TRINITY_DN32731_c0_g1,Aprataxin and PNK-like factor OS=Homo sapiens GN=APLF PE=1 SV=1 E(blastx)=2e-15
TRINITY_DN3459_c0_g1,Pre-mRNA-splicing factor CWC25 homolog OS=Homo sapiens GN=CWC25 PE=1 SV=1 E(blastx)=5e-07
TRINITY_DN34751_c0_g1,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2 E(blastx)=1e-33
TRINITY_DN38246_c0_g1,Cytosolic sulfotransferase 1 OS=Arabidopsis thaliana GN=SOT1 PE=2 SV=1 E(blastx)=5e-05
TRINITY_DN35740_c0_g1,Trafficking kinesin-binding protein 1 OS=Homo sapiens GN=TRAK1 PE=1 SV=1 E(blastx)=1e-34
TRINITY_DN28340_c0_g1,Chromodomain-helicase-DNA-binding protein Mi-2 homolog OS=Drosophila melanogaster GN=Mi-2 PE=1 SV=2 E(blastx)=6e-14
TRINITY_DN12450_c0_g1,Carboxypeptidase E OS=Bos taurus GN=CPE PE=1 SV=2 E(blastx)=4e-19
TRINITY_DN23995_c0_g1,Peptidyl-prolyl cis-trans isomerase B OS=Mus musculus GN=Ppib PE=1 SV=2 E(blastx)=3e-38
TRINITY_DN5677_c0_g1,V-type proton ATPase catalytic subunit A OS=Anopheles gambiae GN=Vha68-2 PE=3 SV=1 E(blastx)=4e-15
TRINITY_DN38533_c0_g1,Protein LicA OS=Haemophilus influenzae GN=licA PE=3 SV=1 E(blastx)=2e-07
TRINITY_DN32163_c0_g1,Small nuclear ribonucleoprotein Sm D1 OS=Mus musculus GN=Snrpd1 PE=1 SV=1 E(blastx)=4e-26
TRINITY_DN31978_c0_g1,Long-chain-fatty-acid--CoA ligase ACSBG2 OS=Gallus gallus GN=ACSBG2 PE=2 SV=2 E(blastx)=1e-09
TRINITY_DN16878_c0_g1,Aminopeptidase N OS=Bos taurus GN=ANPEP PE=2 SV=4 E(blastx)=2e-06
TRINITY_DN6961_c0_g1,Protein FAM204A OS=Pongo abelii GN=FAM204A PE=2 SV=1 E(blastx)=4e-16
TRINITY_DN6465_c0_g1,Soma ferritin OS=Lymnaea stagnalis PE=2 SV=2 E(blastx)=3e-10
TRINITY_DN39290_c0_g1,Puromycin-sensitive aminopeptidase OS=Mus musculus GN=Npepps PE=1 SV=2 E(blastx)=6e-10
TRINITY_DN25572_c0_g1,Alpha-taxilin OS=Mus musculus GN=Txlna PE=1 SV=1 E(blastx)=8e-45
TRINITY_DN30425_c0_g1,RNA-binding protein 48 OS=Danio rerio GN=rbm48 PE=2 SV=1 E(blastx)=2e-31
TRINITY_DN13682_c0_g1,LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1 E(blastx)=1e-05
TRINITY_DN34332_c0_g1,Bromodomain-containing protein 9 OS=Xenopus laevis GN=brd9 PE=2 SV=1 E(blastx)=1e-34
TRINITY_DN35096_c0_g1,DNA (cytosine-5)-methyltransferase PliMCI OS=Paracentrotus lividus GN=DNMT PE=2 SV=1 E(blastx)=1e-34
TRINITY_DN29124_c0_g1,Remodeling and spacing factor 1 OS=Homo sapiens GN=RSF1 PE=1 SV=2 E(blastx)=1e-24
TRINITY_DN28491_c0_g1,RAC-gamma serine/threonine-protein kinase OS=Rattus norvegicus GN=Akt3 PE=2 SV=2 E(blastx)=4e-35
TRINITY_DN21433_c0_g1,Endoplasmin homolog OS=Caenorhabditis elegans GN=enpl-1 PE=3 SV=1 E(blastx)=8e-29
TRINITY_DN12819_c0_g1,Target of Myb protein 1 OS=Mus musculus GN=Tom1 PE=1 SV=1 E(blastx)=3e-06
TRINITY_DN19640_c3_g1,"Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1 E(blastx)=1e-25"
TRINITY_DN34628_c0_g1,Striatin OS=Homo sapiens GN=STRN PE=1 SV=4 E(blastx)=1e-28
TRINITY_DN23577_c0_g1,LINE-1 reverse transcriptase homolog OS=Nycticebus coucang PE=3 SV=1 E(blastx)=7e-09
TRINITY_DN18811_c0_g1,26S proteasome non-ATPase regulatory subunit 6 OS=Mus musculus GN=Psmd6 PE=1 SV=1 E(blastx)=1e-34
TRINITY_DN10238_c0_g1,Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1 E(blastx)=9e-06
TRINITY_DN24902_c0_g1,Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1 E(blastx)=2e-13
TRINITY_DN3932_c0_g1,Transcription and mRNA export factor ENY2 OS=Taeniopygia guttata GN=ENY2 PE=3 SV=1 E(blastx)=1e-42
TRINITY_DN14052_c0_g1,Putative deoxyribonuclease TATDN3 OS=Bos taurus GN=TATDN3 PE=2 SV=1 E(blastx)=3e-09
TRINITY_DN6505_c0_g1,Enkurin OS=Mus musculus GN=Enkur PE=1 SV=1 E(blastx)=3e-46
TRINITY_DN2466_c0_g1,Sperm-associated antigen 17 OS=Homo sapiens GN=SPAG17 PE=2 SV=1 E(blastx)=2e-11
TRINITY_DN28078_c0_g1,Set1/Ash2 histone methyltransferase complex subunit ASH2 OS=Homo sapiens GN=ASH2L PE=1 SV=1 E(blastx)=5e-12
TRINITY_DN7608_c0_g1,Spermatogenesis-associated serine-rich protein 2 OS=Homo sapiens GN=SPATS2 PE=1 SV=1 E(blastx)=4e-14
TRINITY_DN27654_c0_g1,Prefoldin subunit 5 OS=Homo sapiens GN=PFDN5 PE=1 SV=2 E(blastx)=6e-12
TRINITY_DN32895_c0_g1,Mediator of RNA polymerase II transcription subunit 14 OS=Drosophila pseudoobscura pseudoobscura GN=MED14 PE=3 SV=2 E(blastx)=4e-06
TRINITY_DN38282_c0_g1,Serine/threonine-protein kinase 25 OS=Bos taurus GN=STK25 PE=2 SV=1 E(blastx)=2e-05
TRINITY_DN35937_c0_g1,Sarcolemmal membrane-associated protein OS=Mus musculus GN=Slmap PE=1 SV=2 E(blastx)=1e-11
TRINITY_DN23260_c0_g1,Transmembrane protease serine 13 OS=Mus musculus GN=Tmprss13 PE=2 SV=2 E(blastx)=4e-11
TRINITY_DN6188_c0_g1,Esterase OVCA2 OS=Xenopus tropicalis GN=ovca2 PE=2 SV=2 E(blastx)=2e-15
TRINITY_DN28616_c0_g1,Glycoprotein hormone beta-5 OS=Homo sapiens GN=GPHB5 PE=1 SV=1 E(blastx)=3e-10
TRINITY_DN35467_c0_g1,14-3-3 protein beta/alpha OS=Gallus gallus GN=YWHAB PE=2 SV=1 E(blastx)=3e-44
TRINITY_DN25519_c0_g1,Homeotic protein female sterile OS=Drosophila melanogaster GN=fs(1)h PE=1 SV=2 E(blastx)=3e-43
TRINITY_DN31603_c0_g1,Dynein regulatory complex subunit 7 OS=Xenopus tropicalis GN=drc7 PE=2 SV=1 E(blastx)=3e-35
TRINITY_DN31870_c0_g1,Nuclear pore complex protein Nup155 OS=Mus musculus GN=Nup155 PE=1 SV=1 E(blastx)=6e-08
TRINITY_DN35163_c0_g1,Protein dpy-30 homolog OS=Homo sapiens GN=DPY30 PE=1 SV=1 E(blastx)=4e-28
TRINITY_DN11854_c0_g1,Glutamine--tRNA ligase OS=Bos taurus GN=QARS PE=2 SV=1 E(blastx)=7e-25
TRINITY_DN32907_c0_g1,Enolase-phosphatase E1 OS=Bos taurus GN=ENOPH1 PE=2 SV=1 E(blastx)=3e-12
TRINITY_DN36286_c0_g1,Cell division cycle 5-like protein OS=Rattus norvegicus GN=Cdc5l PE=1 SV=2 E(blastx)=2e-24
TRINITY_DN8511_c0_g1,Non-structural maintenance of chromosomes element 1 homolog OS=Bos taurus GN=NSMCE1 PE=2 SV=2 E(blastx)=3e-21
TRINITY_DN17650_c0_g1,DNA topoisomerase 2-alpha OS=Cricetulus griseus GN=TOP2A PE=1 SV=1 E(blastx)=1e-40
TRINITY_DN39530_c0_g1,Putative inositol monophosphatase 3 OS=Drosophila melanogaster GN=CG15743 PE=2 SV=1 E(blastx)=3e-24
TRINITY_DN11009_c0_g1,"ATP synthase subunit alpha, mitochondrial OS=Xenopus laevis GN=atp5a PE=2 SV=1 E(blastx)=4e-38"
TRINITY_DN36305_c0_g1,Intraflagellar transport protein 122 homolog OS=Danio rerio GN=ift122 PE=2 SV=1 E(blastx)=2e-57
TRINITY_DN9673_c0_g1,Sorting nexin-29 OS=Mus musculus GN=Snx29 PE=1 SV=2 E(blastx)=1e-37
TRINITY_DN6951_c0_g1,Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens GN=HNRNPUL1 PE=1 SV=2 E(blastx)=3e-06
TRINITY_DN37526_c0_g1,Choline transporter-like protein 1 OS=Caenorhabditis briggsae GN=chtl-1 PE=3 SV=2 E(blastx)=1e-09
TRINITY_DN27788_c0_g1,MTSS1-like protein OS=Mus musculus GN=Mtss1l PE=1 SV=1 E(blastx)=6e-25
TRINITY_DN27343_c0_g1,Membrane-associated protein Hem OS=Drosophila melanogaster GN=Hem PE=2 SV=1 E(blastx)=2e-24
TRINITY_DN10254_c0_g1,Transgelin-2 OS=Mus musculus GN=Tagln2 PE=1 SV=4 E(blastx)=1e-07
TRINITY_DN14346_c0_g1,Methylsterol monooxygenase 1 OS=Gallus gallus GN=MSMO1 PE=2 SV=1 E(blastx)=4e-30
TRINITY_DN39783_c0_g1,Glutathione S-transferase C-terminal domain-containing protein homolog OS=Drosophila pseudoobscura pseudoobscura GN=GA10313 PE=3 SV=1 E(blastx)=2e-10
TRINITY_DN1197_c0_g1,Mucin-2 OS=Homo sapiens GN=MUC2 PE=1 SV=2 E(blastx)=3e-07
TRINITY_DN26805_c0_g1,Fucose mutarotase OS=Danio rerio GN=fuom PE=2 SV=1 E(blastx)=5e-26
TRINITY_DN26834_c0_g1,Myosin-9 OS=Gallus gallus GN=MYH9 PE=2 SV=1 E(blastx)=1e-18
TRINITY_DN9760_c0_g1,Poly(U)-specific endoribonuclease-A OS=Xenopus laevis GN=endou-a PE=1 SV=1 E(blastx)=4e-19
TRINITY_DN7309_c0_g1,Protein FAM50 homolog OS=Anopheles gambiae GN=AGAP002062 PE=3 SV=2 E(blastx)=3e-10
TRINITY_DN27352_c0_g1,Prefoldin subunit 1 OS=Bos taurus GN=PFDN1 PE=2 SV=1 E(blastx)=8e-28
TRINITY_DN39323_c0_g1,EF-hand calcium-binding domain-containing protein 2 OS=Mus musculus GN=Efcab2 PE=1 SV=1 E(blastx)=1e-59
TRINITY_DN2647_c0_g1,Coiled-coil domain-containing protein 22 homolog OS=Nematostella vectensis GN=v1g180167 PE=3 SV=1 E(blastx)=2e-20
TRINITY_DN33449_c0_g1,Zinc finger CCCH-type with G patch domain-containing protein OS=Nematostella vectensis GN=v1g244155 PE=3 SV=1 E(blastx)=8e-24
TRINITY_DN11949_c0_g1,Glutaredoxin-3 OS=Xenopus tropicalis GN=glrx3 PE=2 SV=2 E(blastx)=2e-41
TRINITY_DN27430_c0_g1,Protein kinase C and casein kinase substrate in neurons protein 2 OS=Xenopus laevis GN=pacsin2 PE=2 SV=1 E(blastx)=1e-20
TRINITY_DN5541_c0_g1,DNA ligase 4 OS=Gallus gallus GN=LIG4 PE=2 SV=2 E(blastx)=4e-09
TRINITY_DN26501_c0_g1,DNA-directed RNA polymerase III subunit RPC7-like OS=Mus musculus GN=Polr3gl PE=2 SV=2 E(blastx)=8e-07
TRINITY_DN20427_c0_g1,Gelsolin OS=Drosophila melanogaster GN=Gel PE=1 SV=2 E(blastx)=2e-14
TRINITY_DN39489_c0_g1,Elongation factor G OS=Mycoplasma mobile (strain ATCC 43663 / 163K / NCTC 11711) GN=fusA PE=3 SV=1 E(blastx)=3e-23
TRINITY_DN36122_c0_g1,Unconventional myosin-XVIIIa OS=Mus musculus GN=Myo18a PE=1 SV=2 E(blastx)=3e-10
TRINITY_DN22327_c0_g1,"Cytochrome c oxidase subunit 7C, mitochondrial OS=Saimiri sciureus GN=COX7C PE=3 SV=1 E(blastx)=1e-09"
TRINITY_DN31230_c0_g1,Zinc finger CCHC domain-containing protein 10 OS=Mus musculus GN=Zcchc10 PE=2 SV=1 E(blastx)=5e-15
TRINITY_DN21201_c0_g1,AP-4 complex subunit mu-1 OS=Mus musculus GN=Ap4m1 PE=2 SV=1 E(blastx)=3e-05
TRINITY_DN11250_c0_g1,Calcium-independent protein kinase C OS=Aplysia californica GN=PRKC2 PE=1 SV=1 E(blastx)=1e-37
TRINITY_DN20682_c0_g1,Small acidic protein OS=Gallus gallus GN=SMAP PE=2 SV=1 E(blastx)=9e-07
TRINITY_DN33341_c0_g1,Kinesin light chain OS=Doryteuthis pealeii PE=2 SV=1 E(blastx)=4e-34
TRINITY_DN29019_c0_g1,Heterochromatin protein 1 OS=Drosophila melanogaster GN=Su(var)205 PE=1 SV=2 E(blastx)=6e-18
TRINITY_DN21229_c0_g1,Tropomyosin-1 OS=Biomphalaria glabrata PE=2 SV=1 E(blastx)=2e-34
TRINITY_DN36460_c0_g1,40S ribosomal protein S3-A OS=Xenopus laevis GN=rps3-a PE=2 SV=2 E(blastx)=3e-35
TRINITY_DN25566_c0_g1,Hepatic lectin OS=Gallus gallus PE=1 SV=1 E(blastx)=3e-18
TRINITY_DN11526_c1_g1,Putative 2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Trichoplax adhaerens GN=TRIADDRAFT_32238 PE=3 SV=1 E(blastx)=9e-19
TRINITY_DN26703_c0_g1,Enhancer of rudimentary homolog OS=Aedes aegypti PE=3 SV=1 E(blastx)=3e-22
TRINITY_DN39377_c0_g1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Rattus norvegicus GN=Oxct1 PE=1 SV=1 E(blastx)=3e-31"
TRINITY_DN9307_c0_g1,Charged multivesicular body protein 2b OS=Danio rerio GN=chmp2b PE=2 SV=1 E(blastx)=3e-13
TRINITY_DN25316_c0_g1,Transposon Ty3-G Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY3B-G PE=1 SV=3 E(blastx)=5e-07
TRINITY_DN1688_c0_g1,Multidrug resistance-associated protein 1 OS=Mus musculus GN=Abcc1 PE=1 SV=1 E(blastx)=7e-15
TRINITY_DN38973_c1_g1,Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3 E(blastx)=8e-10
TRINITY_DN26264_c0_g1,DNA repair protein complementing XP-G cells homolog OS=Xenopus laevis GN=ercc5 PE=2 SV=1 E(blastx)=2e-20
TRINITY_DN32316_c0_g1,Ubiquitin-conjugating enzyme E2 2 OS=Caenorhabditis elegans GN=let-70 PE=1 SV=1 E(blastx)=4e-42
TRINITY_DN25925_c0_g1,Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster GN=X-element\ORF2 PE=3 SV=1 E(blastx)=4e-31
TRINITY_DN35947_c0_g1,U3 small nucleolar RNA-associated protein 6 homolog OS=Mus musculus GN=Utp6 PE=2 SV=1 E(blastx)=9e-05
TRINITY_DN9275_c0_g1,60S ribosomal protein L4 OS=Urechis caupo GN=RPL4 PE=2 SV=1 E(blastx)=3e-38
TRINITY_DN7175_c0_g1,Intraflagellar transport protein 74 homolog OS=Homo sapiens GN=IFT74 PE=1 SV=1 E(blastx)=8e-20
TRINITY_DN20294_c0_g1,Transcription factor TFIIIB component B'' OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=bdp1 PE=3 SV=2 E(blastx)=5e-16
TRINITY_DN38778_c0_g1,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2 E(blastx)=7e-08
TRINITY_DN25770_c0_g1,60S ribosomal protein L14 OS=Lumbricus rubellus GN=RPL14 PE=3 SV=1 E(blastx)=5e-16
TRINITY_DN27709_c0_g1,Twitchin OS=Caenorhabditis elegans GN=unc-22 PE=1 SV=3 E(blastx)=7e-10
TRINITY_DN26920_c0_g1,Thymosin beta-b OS=Cyprinus carpio PE=3 SV=3 E(blastx)=2e-14
TRINITY_DN33637_c0_g1,Coiled-coil domain-containing protein 33 OS=Homo sapiens GN=CCDC33 PE=1 SV=3 E(blastx)=2e-08
TRINITY_DN28022_c0_g1,Ubiquitin carboxyl-terminal hydrolase 15 OS=Mus musculus GN=Usp15 PE=1 SV=1 E(blastx)=1e-23
TRINITY_DN16617_c0_g1,Chitotriosidase-1 OS=Mus musculus GN=Chit1 PE=1 SV=2 E(blastx)=2e-15
TRINITY_DN20025_c0_g1,Hephaestin-like protein OS=Acropora millepora PE=1 SV=1 E(blastx)=1e-17
TRINITY_DN11125_c0_g1,Protein DENND6B OS=Homo sapiens GN=DENND6B PE=2 SV=1 E(blastx)=1e-11
TRINITY_DN7405_c0_g1,"Serine hydroxymethyltransferase, cytosolic OS=Oryctolagus cuniculus GN=SHMT1 PE=1 SV=2 E(blastx)=3e-26"
TRINITY_DN19809_c0_g1,Protein lin-52 homolog OS=Pongo abelii GN=LIN52 PE=3 SV=1 E(blastx)=1e-13
TRINITY_DN32917_c0_g1,PiggyBac transposable element-derived protein 4 OS=Homo sapiens GN=PGBD4 PE=2 SV=3 E(blastx)=5e-10
TRINITY_DN37409_c0_g1,Gem-associated protein 6 OS=Homo sapiens GN=GEMIN6 PE=1 SV=1 E(blastx)=2e-07
TRINITY_DN29655_c0_g1,Polycystin-2 OS=Homo sapiens GN=PKD2 PE=1 SV=3 E(blastx)=1e-22
TRINITY_DN456_c0_g1,Calcium-dependent protein kinase 2 OS=Plasmodium falciparum (isolate 3D7) GN=CPK2 PE=2 SV=3 E(blastx)=1e-07
TRINITY_DN21306_c0_g1,Thioredoxin-2 OS=Drosophila yakuba GN=Trx-2 PE=3 SV=1 E(blastx)=2e-26
TRINITY_DN21517_c0_g1,IQ and AAA domain-containing protein 1 OS=Mus musculus GN=Iqca1 PE=2 SV=2 E(blastx)=4e-59
TRINITY_DN591_c0_g1,Cytochrome b OS=Chauliodus sloani GN=mt-cyb PE=3 SV=1 E(blastx)=3e-51
TRINITY_DN32830_c0_g1,Transforming acidic coiled-coil-containing protein 1 OS=Mus musculus GN=Tacc1 PE=1 SV=1 E(blastx)=2e-14
TRINITY_DN6900_c0_g1,Periodic tryptophan protein 1 homolog OS=Homo sapiens GN=PWP1 PE=1 SV=1 E(blastx)=1e-14
TRINITY_DN38093_c0_g1,Transcription elongation factor SPT5 OS=Homo sapiens GN=SUPT5H PE=1 SV=1 E(blastx)=2e-36
TRINITY_DN15997_c0_g1,Caprin homolog OS=Drosophila melanogaster GN=Capr PE=1 SV=1 E(blastx)=5e-05
TRINITY_DN35332_c0_g1,Probable peroxisomal acyl-coenzyme A oxidase 1 OS=Drosophila melanogaster GN=CG5009 PE=1 SV=1 E(blastx)=9e-07
TRINITY_DN31308_c0_g1,Sperm-associated antigen 17 OS=Mus musculus GN=Spag17 PE=1 SV=2 E(blastx)=5e-15
TRINITY_DN14694_c0_g1,Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens GN=EIF3M PE=1 SV=1 E(blastx)=1e-21
TRINITY_DN22570_c0_g1,Solute carrier family 22 member 13 OS=Homo sapiens GN=SLC22A13 PE=2 SV=2 E(blastx)=1e-06
TRINITY_DN33678_c0_g1,Bromodomain adjacent to zinc finger domain protein 1A OS=Mus musculus GN=Baz1a PE=1 SV=3 E(blastx)=8e-21
TRINITY_DN28760_c0_g1,Clathrin light chain A OS=Bos taurus GN=CLTA PE=1 SV=1 E(blastx)=8e-20
TRINITY_DN34542_c0_g1,Probable protein phosphatase CG10417 OS=Drosophila melanogaster GN=CG10417 PE=1 SV=1 E(blastx)=2e-13
TRINITY_DN470_c0_g1,14-3-3 protein epsilon OS=Ovis aries GN=YWHAE PE=1 SV=1 E(blastx)=4e-35
TRINITY_DN22288_c0_g1,Microfibrillar-associated protein 1 OS=Drosophila melanogaster GN=Mfap1 PE=1 SV=1 E(blastx)=8e-07
TRINITY_DN4439_c0_g1,Ceramide-1-phosphate transfer protein OS=Danio rerio GN=cptp PE=2 SV=1 E(blastx)=1e-15
TRINITY_DN30930_c0_g1,Endoglucanase 15 OS=Arabidopsis thaliana GN=At2g44570 PE=3 SV=1 E(blastx)=4e-18
TRINITY_DN9212_c0_g1,Protein SDA1 homolog OS=Drosophila melanogaster GN=Mys45A PE=1 SV=1 E(blastx)=3e-14
TRINITY_DN4012_c0_g1,DnaJ homolog subfamily C member 8 OS=Rattus norvegicus GN=Dnajc8 PE=2 SV=1 E(blastx)=5e-15
TRINITY_DN35718_c0_g1,H-2 class II histocompatibility antigen gamma chain OS=Mus musculus GN=Cd74 PE=1 SV=3 E(blastx)=3e-05
TRINITY_DN22058_c0_g1,Complement C1q tumor necrosis factor-related protein 2 OS=Homo sapiens GN=C1QTNF2 PE=1 SV=1 E(blastx)=2e-05
TRINITY_DN5368_c0_g1,Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus GN=Hnrnpab PE=1 SV=1 E(blastx)=2e-16
TRINITY_DN23024_c0_g1,Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1 E(blastx)=3e-43
TRINITY_DN28615_c0_g1,Regulator of rDNA transcription protein 15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRT15 PE=3 SV=1 E(blastx)=7e-16
TRINITY_DN24396_c0_g1,60S ribosomal protein L23a OS=Rattus norvegicus GN=Rpl23a PE=2 SV=1 E(blastx)=5e-52
TRINITY_DN32142_c0_g1,Splicing factor U2AF 50 kDa subunit OS=Drosophila melanogaster GN=U2af50 PE=1 SV=1 E(blastx)=3e-13
TRINITY_DN24235_c0_g1,40S ribosomal protein S25 OS=Branchiostoma belcheri GN=RPS25 PE=2 SV=1 E(blastx)=9e-31
TRINITY_DN10655_c0_g1,"Serine--tRNA ligase, cytoplasmic OS=Bos taurus GN=SARS PE=2 SV=3 E(blastx)=3e-07"
TRINITY_DN37122_c0_g1,Ribonuclease H OS=Crithidia fasciculata GN=RNH1 PE=3 SV=1 E(blastx)=2e-05
TRINITY_DN35901_c0_g1,Rho GDP-dissociation inhibitor 1 OS=Macaca fascicularis GN=ARHGDIA PE=2 SV=1 E(blastx)=8e-05
TRINITY_DN6016_c0_g1,Poly [ADP-ribose] polymerase 2 OS=Mus musculus GN=Parp2 PE=1 SV=3 E(blastx)=3e-13
TRINITY_DN38443_c0_g1,Frizzled-1 OS=Gallus gallus GN=FZD1 PE=2 SV=1 E(blastx)=9e-36
TRINITY_DN23990_c0_g1,60S ribosomal protein L4 OS=Urechis caupo GN=RPL4 PE=2 SV=1 E(blastx)=4e-49
TRINITY_DN15127_c0_g1,Vitamin D 25-hydroxylase OS=Mus musculus GN=Cyp2r1 PE=1 SV=1 E(blastx)=8e-13
TRINITY_DN13662_c1_g1,Tryptase-2 OS=Ovis aries PE=2 SV=1 E(blastx)=9e-14
TRINITY_DN34977_c0_g1,Sarcolemmal membrane-associated protein OS=Oryctolagus cuniculus GN=SLMAP PE=1 SV=2 E(blastx)=1e-15
TRINITY_DN2639_c0_g1,Complex III assembly factor LYRM7 OS=Pongo abelii GN=LYRM7 PE=3 SV=1 E(blastx)=1e-19
TRINITY_DN9606_c0_g1,Glycosylphosphatidylinositol anchor attachment 1 protein OS=Mus musculus GN=Gpaa1 PE=1 SV=3 E(blastx)=2e-15
TRINITY_DN25083_c0_g1,Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens GN=TGFBI PE=1 SV=1 E(blastx)=7e-08
TRINITY_DN1838_c0_g1,"Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Aotus azarae GN=UQCRFS1 PE=3 SV=1 E(blastx)=1e-31"
TRINITY_DN24765_c0_g1,MAM domain-containing protein 2 OS=Homo sapiens GN=MAMDC2 PE=2 SV=3 E(blastx)=4e-09
TRINITY_DN36159_c0_g1,60S ribosomal protein L37a OS=Tetrahymena thermophila (strain SB210) GN=RPL37A PE=1 SV=1 E(blastx)=3e-12
TRINITY_DN3288_c0_g1,Heat shock protein HSP 90-alpha OS=Oryctolagus cuniculus GN=HSP90AA1 PE=1 SV=2 E(blastx)=3e-46
TRINITY_DN37382_c0_g1,"Trifunctional enzyme subunit beta, mitochondrial OS=Bos taurus GN=HADHB PE=2 SV=1 E(blastx)=1e-12"
TRINITY_DN9483_c0_g1,Mediator of RNA polymerase II transcription subunit 9 OS=Drosophila pseudoobscura pseudoobscura GN=MED9 PE=3 SV=2 E(blastx)=3e-15
TRINITY_DN29156_c0_g1,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Macaca fascicularis GN=DLD PE=2 SV=1 E(blastx)=3e-44"
TRINITY_DN34410_c0_g1,Elongation factor 1-alpha OS=Yarrowia lipolytica (strain CLIB 122 / E 150) GN=TEF PE=2 SV=2 E(blastx)=1e-29
TRINITY_DN2281_c0_g1,G patch domain and KOW motifs-containing protein OS=Danio rerio GN=gpkow PE=2 SV=2 E(blastx)=9e-15
TRINITY_DN18080_c0_g1,Periodic tryptophan protein 1 homolog OS=Mus musculus GN=Pwp1 PE=1 SV=1 E(blastx)=5e-06
TRINITY_DN22706_c0_g1,Protein SET OS=Homo sapiens GN=SET PE=1 SV=3 E(blastx)=1e-16
TRINITY_DN39090_c0_g1,Nuclear pore complex protein Nup85 OS=Homo sapiens GN=NUP85 PE=1 SV=1 E(blastx)=6e-11
TRINITY_DN36061_c0_g1,Nuclear pore complex protein Nup93 OS=Rattus norvegicus GN=Nup93 PE=1 SV=1 E(blastx)=2e-17
TRINITY_DN37857_c0_g1,60S ribosomal protein L17 OS=Argas monolakensis GN=RpL17 PE=2 SV=1 E(blastx)=1e-32
TRINITY_DN34463_c0_g1,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 OS=Mus musculus GN=Trmt6 PE=1 SV=1 E(blastx)=1e-12
TRINITY_DN23169_c0_g1,60S ribosomal protein L7a OS=Takifugu rubripes GN=rpl7a PE=3 SV=3 E(blastx)=2e-48
TRINITY_DN32493_c0_g1,Clathrin interactor 1 OS=Bos taurus GN=CLINT1 PE=2 SV=1 E(blastx)=1e-20
TRINITY_DN39279_c0_g1,"Fatty acid-binding protein, intestinal OS=Homo sapiens GN=FABP2 PE=1 SV=2 E(blastx)=6e-05"
TRINITY_DN35899_c0_g1,GTPase IMAP family member 4 OS=Mus musculus GN=Gimap4 PE=1 SV=1 E(blastx)=2e-10
TRINITY_DN39506_c0_g1,DNA-directed RNA polymerase II subunit RPB4 OS=Mus musculus GN=Polr2d PE=1 SV=2 E(blastx)=3e-51
TRINITY_DN27090_c0_g1,Guanine nucleotide-binding protein G(i) subunit alpha OS=Planorbella trivolvis PE=2 SV=2 E(blastx)=1e-09
TRINITY_DN32021_c0_g1,"Long chain acyl-CoA synthetase 7, peroxisomal OS=Arabidopsis thaliana GN=LACS7 PE=1 SV=2 E(blastx)=4e-33"
TRINITY_DN35071_c0_g1,Protein FRA10AC1 homolog OS=Mus musculus GN=Fra10ac1 PE=1 SV=3 E(blastx)=7e-41
TRINITY_DN10870_c0_g1,Ethanolamine-phosphate cytidylyltransferase OS=Homo sapiens GN=PCYT2 PE=1 SV=1 E(blastx)=1e-35
TRINITY_DN32078_c0_g1,Spondin-1 OS=Gallus gallus GN=SPON1 PE=2 SV=1 E(blastx)=2e-08
TRINITY_DN37671_c0_g1,RNA-binding protein 48 OS=Danio rerio GN=rbm48 PE=2 SV=1 E(blastx)=5e-15
